Source: https://sites.google.com/site/wheeloffortunepuzzlecompendium/home/compendium/season-32-compendium
NUMBER OF PUZZLES:1648
CATEGORY|PUZZLE
Living Things|KILLER WHALES LEAPING OUT OF THE OCEAN
Place|A STUNNING TROPICAL VENUE
Event|POETRY CONTEST
What Are You Doing?|TAKING CARE OF BUSINESS
Thing|VALUABLE CARGO
Place|CARIBOU CROSSING
What Are You Doing?|READING THE DIRECTIONS
Show Biz|ACADEMY AWARD WINNER MERYL STREEP
Same Letter|BEAVERS BADGERS & BOBCATS
Phrase|IN VOGUE
On the Map|THE BRITISH VIRGIN ISLANDS
Event|GRAND-OPENING SALE
Food & Drink|FRESH BATCH OF COOKIES
Things|SILVER & GOLD
What Are You Doing?|GOOFING AROUND
Living Things|MOOSE AND ELK
Phrase|ON MY BEST BEHAVIOR
Show Biz|RUSSELL CROWE STARS IN NOAH
Same Name|COTTON AND BOWLING BALL
Place|AN OASIS OF INDULGENCE
What Are You Doing?|RUNNING IN PLACE
Things|MEMOIRS AND BIOGRAPHIES
Things|PAPERBACKS
Event|FAMILY NIGHT
Thing|OPTIMISTIC OUTLOOK
What Are You Doing?|GIVING CREDIT WHERE CREDIT IS DUE
Before & After|THE OLDEST TRICK IN THE BOOK CLUB
Fun & Games|SCUBA DIVING WITH GIANT MANTA RAYS
Phrase|THE CREAM OF THE CROP
Around the House|SHEETS AND PILLOWCASES
What Are You Doing?|GOING BACKSTAGE
People|FAITHFUL FRIENDS
Event|LUNAR ECLIPSE
Phrase|WHERE THERE'S A WILL THERE'S A WAY
Same Name|GINGERBREAD & BEST MAN
Things|A VARIETY OF LUXURY ACCOMMODATIONS
Occupation|MATH TEACHER
What Are You Doing?|WORKING ON MY SCRAPBOOK
Thing|GUIDED HIKE
Phrase|I LOVE YOU MOM!
Thing|COMFORT FOOD
Living Things|SUNFLOWERS AND APPLE BLOSSOMS
Before & After|FALSE ALARM CLOCK
Event|A CALMING STRESS-FREE GETAWAY
In the Kitchen|MICROWAVE OVEN
What Are You Doing?|WATCHING THE HIGHLIGHTS
Thing|MOBILE DEVICE
Phrase|MY PRIDE AND JOY
Person|HONOR ROLL STUDENT
What Are You Doing?|FULFILLING A LIFELONG DREAM
Before & After|GONE WITH THE WIND CHIMES
Living Things|GRAY WHALES AND SEA LIONS
Occupation|OFFICE MANAGER
Thing|CLOSE-KNIT COMMUNITY
Phrase|JUMP ON THE BANDWAGON
Food & Drink|DELICIOUS DINNER
Around the House|WHITE TABLECLOTH
People|NEXT-DOOR NEIGHBORS
Things|BALLOONS CONFETTI AND STREAMERS
Rhyme Time|WHEN THE CAT'S AWAY THE MICE WILL PLAY
Fun & Games|CLIMBING A TREE
What Are You Doing?|MAKING A DIFFERENCE
Phrase|IT TAKES KNOW-HOW
Thing|A BRAND-NEW CAR
Place|GROCERY STORE
Song Lyrics|THESE ARE A FEW OF MY FAVORITE THINGS
Before & After|PAID IN FULL MOONS
Phrase|I PROMISE YOU WON'T BE DISAPPOINTED
Person|ENDURANCE ATHLETE
What Are You Doing?|DECORATING A CAKE
Thing|GLAMOROUS IMAGE
Place|SHOPPING CENTER
Things|COMFORTABLE SHOES
Song Lyrics|HEY BIG SPENDER SPEND A LITTLE TIME WITH ME
Before & After|COUCH POTATO MASHER
Phrase|FAR FROM ALL THE HUSTLE AND BUSTLE
People|HEROES AND VILLAINS
Show Biz|SOLD-OUT PERFORMANCE
Person|LUCKY GUY
Occupation|SALES CLERK
Event|FAMILY GATHERING
What Are You Doing?|GRABBING LUNCH AT THE FOOD COURT
Before & After|SNAP CRACKLE POP MUSIC STAR
Phrase|YOU'VE NEVER SEEN ANYTHING LIKE THIS
On the Map|LAKE SUPERIOR
Thing|FREE GIFT WITH PURCHASE
Living Thing|WHITE-TAILED JACKRABBIT
Thing|AUTOGRAPHED BOOK
Thing|INSTANT REBATE
People|FRIENDS AND NEIGHBORS
Phrase|BARELY SCRATCHING THE SURFACE
Before & After|PORCH SWING DANCING
What Are You Doing?|BRINGING AN EXTRA BATHING SUIT
Proper Name|JENNIFER ANISTON
Event|SURPRISE ENDING
Thing|AN OUNCE OF GOLD
Phrase|CASH OR CREDIT?
Around the House|CHAMPAGNE GLASSES
Things|CLOTHES JEWELRY AND MAKEUP
Before & After|PINBALL WIZARD OF OZ
Event|THE PERFECT SUN-AND-SEA VACATION
Food & Drink|SWEDISH MEATBALLS
Person|DIRECT SUPERVISOR
Phrase|POETIC JUSTICE
On the Map|MIDTOWN MANHATTAN
Occupation|BUSINESS MANAGER
Before & After|THREE LITTLE PIGS IN A BLANKET
Star & Role|DWAYNE JOHNSON AS HERCULES
Phrase|THERE'S NOT A CLOUD IN THE SKY
Around the House|BOTTLE OPENER
Phrase|WE'VE GOT YOU COVERED
Phrase|THAT WORKS
On the Map|PHILADELPHIA PENNSYLVANIA
Show Biz|BALLET COMPANY
Song/Artist|I'VE BEEN EVERYWHERE BY JOHNNY CASH
Before & After|COFFEE BREAK THE BANK
Phrase|HIP HIP HOORAY
Phrase|YOU'LL NEED A PASSPORT FOR THIS ONE
Rhyme Time|YUMMY IN MY TUMMY
Thing|OFF-THE-CUFF REMARK
Person|TUBA PLAYER
Place|THE WINDY CITY
Characters|TRANSFORMERS
Song Lyrics|THEY CALL ME THE WANDERER
Before & After|ARTICHOKE HEART-TO-HEART TALK
What Are You Doing?|ADDING TO MY SHELL COLLECTION
Phrase|BACK TO THE DRAWING BOARD
Food & Drink|BLACKBERRIES & RASPBERRIES
Place|JUICE BAR
On the Map|SAN DIEGO CALIFORNIA
Proper Name|SCARLETT JOHANSSON
Before & After|PUPPET SHOW ME THE MONEY
Quotation|THE FACE THAT LAUNCHED A THOUSAND SHIPS
What Are You Doing?|WAVING GOODBYE TO THE MAINLAND
Show Biz|CAMERA OPERATOR
Phrase|THE KEYS TO THE KINGDOM
Phrase|IN HOG HEAVEN
On the Map|THE FRENCH QUARTER
Rhyme Time|SPINNING AND WINNING
Phrase|PUT YOUR BEST FOOT FORWARD
Quotation|I DO NOT LIKE GREEN EGGS AND HAM
Thing|PRISTINE TURQUOISE WATERS
Food & Drink|CHERRY TOMATOES
Event|BIRTHDAY CELEBRATION
Thing|EMPTY COOKIE JAR
Phrase|GO OUTSIDE AND PLAY
Living Thing|HORSESHOE CRAB
What Are You Doing?|FILLING MY CANTEEN WITH WATER
Before & After|A SIGH OF RELIEF PITCHER
Food & Drink|CHAMPAGNE & CANDLELIGHT DINNERS
Fun & Games|OBSTACLE COURSE
Thing|POCKET DICTIONARY
Phrase|PICK UP THE PHONE
Fun & Games|SWIMMING IN A LAKE
Thing|TRAVEL HAIR DRYER
Phrase|WE'RE NOT OUT OF THE WOODS YET
Same Letter|DAFFODILS DAISIES & DANDELIONS
Thing|PAGER
Place|THE PERFECT BAY FOR SNORKELING
Characters|THE MUPPETS
Event|GETTING A BIG PROMOTION
Thing|HIGH GEAR
Phrase|DON'T TIP THE CANOE
What Are You Doing?|STRETCHING THE TRUTH
Fun & Games|SINGING SONGS AROUND THE CAMPFIRE
Before & After|SOLID AS A ROCK CLIMBER
Things|LOUNGE CHAIRS & BEACH TOWELS
Events|BACK-TO-BACK WINS
Song Lyrics|BABY WE WERE BORN TO RUN
Phrase|BEYOND THE HORIZON
Fun & Games|KAYAKING ADVENTURE
Song Title|DON'T WORRY BE HAPPY
On the Map|THE APPALACHIAN TRAIL
Before & After|BELLY DANCES WITH WOLVES
Phrase|BEEF IT UP
Phrase|I COULD SERIOUSLY GET USED TO THIS
Thing|COMPASS NEEDLE
Occupations|TAILORS AND DRESSMAKERS
Thing|GROWTH SPURT
Event|CAMPING TRIP
Character|THE COWARDLY LION
Title|A RIVER RUNS THROUGH IT
Before & After|STAY-AT-HOME MOHER NATURE
Phrase|NOTHING WOULD MAKE ME HAPPIER
Places|BOTANICAL GARDENS
What Are You Doing?|READING BY LANTERN LIGHT
Things|JOB QUALIFICATIONS
What Are You Doing?|PUTTING ON MY COSTUME
Around the House|SOFT SOFA CUSHIONS
Title|INTERVIEW WITH THE VAMPIRE
Characters|WEREWOLVES HOWLING AT THE MOON
Place|NATURE PARK & WILDLIFE REFUGE
Proper Name|JOHNNY DEPP
Living Things|TARANTULAS & SCORPIONS
Phrase|POINT THE WAY
What Are You Doing?|HIDING UNDER THE BED
Living Things|PACK OF JACKALS
Movie Title|THE NIGHTMARE BEFORE CHRISTMAS
Same Letter|HORRIFYING HAUNTED HOUSE
Things|HOME MOVIES
Things|COASTAL ROCK FORMATIONS
Phrase|STRIKE IT RICH
Food & Drink|THE ICING ON THE CAKE
Characters|HARRY POTTER & RON WEASLEY
Thing|BUSHY TAIL
Phrase|I'M SCARED STIFF
Thing|MAGAZINE SUBSCRIPTION
Title|THE PHANTOM OF THE OPERA
Movie Quote|WHATEVER YOU DO DON'T FALL ASLEEP
Fun & Games|TAKING THE SAILBOAT OUT TO SEA
Place|A CAVE FULL OF BATS
Around the House|FLASHLIGHT BATTERIES
What Are You Doing?|READING THE FINE PRINT
Thing|UNIQUE WORK OF ART
Movie Quote|THEY'RE HERE
On the Map|FORT WORTH TEXAS
Phrase|SOMEONE'S KNOCKING AT THE DOOR
Before & After|THE WICKED WITCH OF THE WEST COAST
Title|JAWS
Thing|THE WARM WATER OF THE PACIFIC
Event|DEVIL'S NIGHT
Title/Author|THE SHINING BY STEPHEN KING
Thing|BAGGAGE FEE
Character|COUNT DRACULA
Proper Name|BALTIMORE RAVENS
Song Lyrics|IT'S THE END OF THE WORLD AS WE KNOW IT
Before & After|JACK BLACK WIDOW SPIDER
Show Biz|REGGAE LEGEND BOB MARLEY
TV Title|THE WALKING DEAD
Food & Drink|SALTED PUMPKINSEEDS
Phrase|A PIECE OF THE PIE
Phrase|WELCOME TO PARADISE
Food & Drink|ICE CREAM SUNDAE
Fun & Games|STANDING UP ON A PADDLEBOARD
Before & After|SILLY STRING BIKINI
Show Biz|THE BEST JAZZ YOU'LL EVER HEAR
Event|ANNUAL GET-TOGETHER
What Are You Doing?|OPENING MY PARACHUTE
Food & Drink|RIPE AVOCADO
Things|HIDDEN WATERFALLS
Occupation|FITNESS TRAINER
Living Thing|ENGLISH SPRINGER SPANIEL
Before & After|VOLCANIC ROCK AND ROLL
What Are You Doing?|EXPLORING THE WONDERS OF THE FAR EAST
Place|THE DRIVER'S SEAT
Rhyme Time|THE MOTION OF THE OCEAN
People|FAMOUS DUO
Food & Drink|FRESH PINEAPPLE
Fun & Games|BELLY FLOP CONTEST
Title|TEENAGE MUTANT NINJA TURTLES
Before & After|KARAOKE NIGHT VISION
Same Letter|FUN FOOD & FESTIVITIES
Occupation|SHORT-ORDER COOK
Event|HOUSEWARMING PARTY
Phrase|BACK TO SQUARE ONE
Places|LUSH VALLEYS
Movie Title|KUNG FU PANDA
Phrase|BRIGHT-EYED AND BUSHY-TAILED
Before & After|METEOR SHOWER GEL
On the Map|FABULOUS LAS VEGAS NEVADA
What Are You Doing?|WORKING UP A SWEAT
Food & Drink|MINI MARSHMALLOWS
Person|YOUNG ADULT
Food & Drink|MACADAMIA NUTS
Around the House|NEEDLE AND THREAD
Movie Title|GUARDIANS OF THE GALAXY
Before & After|THE BOTTOM LINE DANCING
Fun & Games|RIDING BIKES IN GOLDEN GATE PARK
Living Thing|GIANT SALAMANDER
Phrase|THAT ONE TAKES THE CAKE
Phrase|LIKE WALKING ON AIR
Song Lyrics|UP WHERE WE BELONG
Place|NATURAL HABITAT
Same Letter|TOTALLY TALENTED TWOSOME
Before & After|ONION RINGS OF SATURN
Event|ALL-INCLUSIVE ESCORTED TOUR
Things|STOCKS AND BONDS
What Are You Doing?|SEEING A BUDDY MOVIE
Person|AUTHORITY FIGURE
Phrase|LET'S MAKE SOME NOISE
Characters|CAPTAIN KIRK AND MR. SPOCK
Food & Drink|BLUEBERRY FRENCH TOAST
Before & After|KEEP YOUR EYE ON THE BALL GOWN
Places|THE MOST AMAZING THEME PARKS
Thing|TRAVEL COFFEE MUG
Event|TECHNOLOGICAL BREAKTHROUGH
What Are You Doing?|MOVING QUICKLY
Show Biz|PERFORMING A DUET
Living Things|PLAYFUL DOLPHINS
Phrase|THERE'S NOTHING UP MY SLEEVE
Characters|WAYNE AND GARTH FROM WAYNE'S WORLD
On the Map|CALIFORNIA'S CENTRAL COAST
Event|FINISHING A MARATHON
What Are You Doing?|DRIVING A HARD BARGAIN
Food & Drink|PIZZA TOPPING
Characters|STARSKY AND HUTCH
Fun & Games|TRACK AND FIELD
Phrase|ALL DRESSED UP AND EVERYWHERE TO GO
Quotation|WE FEW WE HAPPY FEW WE BAND OF BROTHERS
What Are You Doing?|BURYING MY TOES IN THE SAND
Things|CONSTELLATIONS
Rhyme Time|GIRLS WEARING PEARLS
Person|BASHFUL KID
Person|SPARRING PARTNER
Phrase|DON'T BE SHY
Before & After|MONOPOLY MONEY MANAGER
Characters|WOODY AND BUZZ LIGHTYEAR
Place|THE CITY THAT DOESN'T SLEEP
Fun & Games|LACROSSE STICK
What Are You Doing?|GETTING MY DUCKS IN A ROW
Phrase|GO FOR A JOG
Thing|MY LUCKY NUMBER
Place|BARRIER ISLAND
Before & After|AMERICA'S NEXT TOP MODEL AIRPLANE
Food & Drink|SCRUMPTIOUS SEAFOOD PLATTER
What Are You Doing?|CRUISING THE CARIBBEAN IN STYLE
Event|TYING THE KNOT
Fun & Games|DINNER AND DANCING
Phrase|LIGHTNING IN A BOTTLE
Thing|MAJOR UPGRADE
What Are You Doing?|PLAYING TO WIN
People|TREASURE HUNTERS
Movie Quote|MAY THE ODDS BE EVER IN YOUR FAVOR
Same Letter|CABBAGE CARROTS & CAULIFLOWER
Thing|INFOMERCIAL
Places|TERRACES OVERLOOKING THE JUNGLE
Proper Name|PAUL MCCARTNEY
Song Title|THE SOUND OF SILENCE
Thing|WORLDWIDE BEST SELLER
Food & Drink|FROZEN WAFFLES
Fun & Games|PROGRESSIVE SLOT MACHINE
Rhyme Time|I WOULD IF I COULD
What Are You Doing?|MAKING SOMETHING OUT OF NOTHING
Before & After|QUIET ON THE SET OF ENCYCLOPEDIAS
Phrase|FRIENDLY HELPFUL AND COURTEOUS
Show Biz|CASTING DIRECTOR
Food & Drink|ENGLISH BREAKFAST TEA
Around the House|POSTCARD COLLECTION
Thing|EXCITING SUBJECT
Place|WEDDING CHAPEL
Food & Drink|ROASTED ALMONDS
Fun & Games|SEEING THE SIGHTS ON THE STRIP
Same Name|PUMPKIN AND IRON-ON PATCH
Thing|THE MOST BEAUTIFUL SUNSET EVER
Occupation|PUBLIC ACCOUNTANT
Event|DRAMATIC CONCLUSION
Things|OFFICE PRODUCTS
Phrase|LET IT RIDE!
Thing|UNBRIDLED ENTHUSIASM
What Are You Doing?|GETTING MY FOOT IN THE DOOR
Before & After|LOOK ME IN THE EYE SHADOW
Place|PROTECTED MARINE SANCTUARY
TV Title|MODERN FAMILY
Quotation|GOOD NIGHT SWEET PRINCE
Thing|YOGA POSE
On the Map|COLUMBUS OHIO
Person|VOLUNTEER FIREFIGHTER
Food & Drink|CANDIED YAMS WITH SLICED APPLES
Before & After|UNDER CONSTRUCTION PAPER
Phrase|IMAGINE THE POSSIBILITIES
In the Kitchen|CASSEROLE DISH
Things|TRIANGLES AND RECTANGLES
Phrase|THE WHOLE BALL OF WAX
Landmark|INDEPENDENCE HALL
Occupation|NEWSPAPER REPORTER
Characters|BATMAN ROBIN AND BATGIRL
Before & After|LOVE IS IN THE AIR MATTRESS
Title|BAYWATCH
Phrase|LIFE IS FULL OF SURPRISES
Around the House|A VASE OF FLOWERS
Thing|TOPIC OF CONVERSATION
Thing|BIG BEAR HUG
On the Map|LAKE MICHIGAN
Thing|PRICELESS PAINTING
What Are You Doing?|BAKING THE PERFECT PUMPKIN PIE
Before & After|SILICON VALLEY GIRL
Phrase|CHECK YOUR DEPARTURE TIME
Character|THE ROAD RUNNER
In the Kitchen|SELF-CLEANING OVEN
Phrase|WATCH OUT BELOW
What Are You Doing?|TALKING TURKEY
On the Map|ALBANY NEW YORK
Before & After|TOOTSIE ROLL OUT THE RED CARPET
Food & Drink|BUTTERNUT SQUASH STUFFING
Phrase|I KNOW WHERE I'M GOING FOR SUMMER BREAK
Fun & Games|SHOW AND TELL
Show Biz|ONLINE MOVIE REVIEW
Phrase|A BABE IN THE WOODS
Thing|THE GETTYSBURG ADDRESS
Rhyme Time|MUMBO JUMBO
On the Map|THE SOUTH RIM OF THE GRAND CANYON
Before & After|CRACKER JACK NICHOLSON
Same Letter|MEMORABLE MAGIC MOMENTS
TV Title|THE PEOPLE'S COURT
Phrase|QUALITY NOT QUANTITY
Place|NARROW PATHWAY
Phrase|WARM AND FRIENDLY
Event|FOOD & WINE FESTIVAL
Things|THE BEST DEALS ONLINE
Before & After|NEVER SAY NEVER-NEVER LAND
What Are You Doing?|GAZING OUT AT THE ENDLESS OCEAN
Person|A GENTLE GIANT
Food & Drink|BAKED CHERRY TURNOVER
Place|BUSY HARBOR
Place|GUEST BEDROOM
Show Biz|STAGE MANAGER
Food & Drink|BANANA WALNUT PANCAKES
Before & After|PRIVATE EYE OF THE STORM
Phrase|A WORK OF GENIUS
Things|THE BRIGHT LIGHTS OF TIMES SQUARE
Living Thing|MINIATURE POODLE
Phrase|DOWN TO A SCIENCE
Food & Drink|HANDPICKED FRUIT
Things|CHARM AND CHARACTER
Around the House|FULL-LENGTH MIRROR
Same Letter|PROFESSIONAL POKER PLAYER
Food & Drink|WILD MUSHROOM AND GOAT CHEESE OMELET
Before & After|SEA URCHINS SPONGES AND REEFS
Phrase|EAGER TO PLEASE
Person|DISTINGUISHED GENTLEMAN
Thing|HEAVY PACKAGE
Person|GRACIOUS HOST
Things|SILVER DOLLARS
Food & Drink|COFFEE AND CRANBERRY SCONES
Before & After|I SLEPT LIKE A BABY HIPPO
Place|HONOLULU INTERNATIONAL AIRPORT
Proper Name|TOM SELLECK
Around the House|FLOWER ARRANGEMENT
Things|FUZZY EARMUFFS
Thing|THE PERSONAL TOUCH
Event|GRAND ENTRANCE
Show Biz|CRITICALLY ACCLAIMED TELEVISION SERIES
Before & After|SODA FOUNTAIN OF YOUTH
Fun & Games|SURFBOARDS SAILBOATS & KAYAKS
What Are You Doing?|ACCESSORIZING
Food & Drink|FRIED APPLE FRITTERS
Person|FIELD HOCKEY GOALIE
People|ONE BIG HAPPY FAMILY
Place|WINTER WONDERLAND
What Are You Doing?|RUNNING CIRCLES AROUND THE COMPETITION
Same Letter|CHRISTMAS CANDY CANES
Phrase|EVERYTHING YOU COULD POSSIBLY WANT
Show Biz|TELEVISION COMEDY
Thing|RED BRICK CHIMNEY
Things|GUITAR CHORDS
People|BOYS AND GIRLS
Place|ICE SKATING RINK
Song Lyrics|THE WEATHER OUTSIDE IS FRIGHTFUL
Before & After|SEE SPOT RUN FOR GOVERNOR
What Are You Doing?|CHECKING MY VACATION DAYS
Event|ANNUAL REUNION
Things|GIANT SNOWFLAKES
Thing|AVERAGE PRICE
Show Biz|SISTER ACT
Around the House|WOOD-BURNING FIREPLACE
Before & After|BENCH PRESS THE SNOOZE BUTTON
Song Title|YOU'RE A MEAN ONE MR. GRINCH
Same Letter|SUPERB SERVICE & SETTING
Fun & Games|PLAYING TWISTER
Phrase|NEVER A DULL MOMENT
Thing|QUILTED BLANKET
What Are You Doing?|HANGING MISTLETOE
Phrase|AGE BEFORE BEAUTY
Occupations|PLUMBER AND PIPE FITTER
Same Name|THE NORTH AND TOTEM POLE
Place|A PRIME STRETCH OF FABULOUS BEACH
Person|FIRSTBORN CHILD
Food & Drink|OLD-FASHIONED FRUITCAKE
Event|HISTORIC VOYAGE
Phrase|PLENTY TO GO AROUND
People|MOTHER AND DAUGHTER
Song Lyrics|BETTER NOT POUT I'M TELLING YOU WHY
Before & After|MR. POTATO HEAD OF THE HOUSEHOLD
Things|BREATHTAKING BALCONY VIEWS
Food & Drink|APPLES AND ORANGES
Event|WINNING A TALENT CONTEST
Thing|EXIT POLL
Song Lyrics|JINGLE BELLS JINGLE BELLS
Thing|BOOMING BUSINESS
Phrase|THERE'S SOMETHING FOR EVERYONE
Before & After|THE BIG APPLE CIDER
What Are You Doing?|GETTING TO KNOW THE LOCAL CUISINE
Show Biz|CURTAIN CALL
Fun & Games|DOING SOMERSAULTS
Thing|LATE-NIGHT INFOMERCIAL
Food & Drink|CHESTNUT COOKIES
Thing|FRONT-PAGE NEWS
What Are You Doing?|WAKING UP AT THE CRACK OF DAWN
Before & After|WRAPPING PAPER TRAIL
Place|THE IDEAL TROPICAL DESTINATION
Show Biz|PLAYING THE TITLE ROLE
People|LADIES AND GENTLEMEN
Things|BAY WINDOWS
Rhyme Time|THE ELF ON THE SHELF
Fun & Games|SCRABBLE TOURNAMENT
Song Lyrics|A BUTTON NOSE AND TWO EYES MADE OUT OF COAL
Same Letter|PERFECT PLUM PUDDING
What Are You Doing?|LISTENING TO THE SOUND OF THE OCEAN
Around the House|KITCHEN PANTRY
Event|REACHING ONE OF MY GOALS
Phrase|ABOVE THE CLOUDS
Song Lyrics|RUN RUN RUDOLPH
Occupation|SOFTWARE DEVELOPER
Food & Drink|SWEET PINEAPPLE-GLAZED HAM
Quotation|HE HAD A BROAD FACE AND A LITTLE ROUND BELLY
What Are You Doing?|DISCOVERING THE WONDERS OF NATURE
Event|CROSSING THE FINISH LINE
Phrase|IT ALL COMES DOWN TO THIS
On the Map|AUGUSTA GEORGIA
Title|THE POLAR EXPRESS
People|KIDS OF ALL AGES
Occupation|CUSTOMER SERVICE MANAGER
Before & After|NEW YORK STOCK EXCHANGE OF GIFTS
Food & Drink|BANANA COCONUTS AND CHOCOLATE
Phrase|PLEASED AS PUNCH
What Are You Doing?|BUCKLING MY SKI BOOTS
Show Biz|OPENING CREDITS
Thing|MONTHLY BUDGET
Things|KINDNESS & GENEROSITY
Title|FRIED GREEN TOMATOES
Before & After|FRESHLY BREWED COFFEE TABLE
Food & Drink|ORIGINAL TENNESSEE BARBECUE BEEF
Phrase|PUT ON YOUR SWIMSUIT AND HIT THE BEACH
Occupation|RECEPTIONIST
Living Things|BARNYARD ANIMALS
Things|GAME HIGHLIGHTS
Phrase|MAKE YOURSELF AT HOME
Proper Name|WILLIE NELSON
Same Letter|SILKY SMOOTH SKIN
Song Lyrics|MISSISSIPPI QUEEN IF YOU KNOW WHAT I MEAN
Person|SAXOPHONIST
Fun & Games|SEARCHING THE ISLAND FOR WATERFALLS
Place|FAMILY RESTAURANT
Thing|A CONSERVATIVE ESTIMATE
Person|HUMBLE HERO
On the Map|CHARLESTON SOUTH CAROLINA
Event|STRIKING GOLD
Phrase|VERY IMPORTANT PERSON
Before & After|THE PEN IS MIGHTIER THAN THE SWORD SWALLOWER
Things|GENTLE SOOTHING TRADE WINDS
Food & Drink|RED BEANS AND RICE
What Are You Doing?|PURSUING MY DREAM
Phrase|WEALTH OF IDEAS
Show Biz|BLUEGRASS MUSIC
Proper Name|BURT REYNOLDS
Food & Drink|LOUISIANA CHICKEN AND SAUSAGE GUMBO
Before & After|SLEEPING BEAUTY IS IN THE EYE OF THE BEHOLDER
Phrase|OUT OF WHACK
Things|WAVES REACHING EPIC HEIGHTS
Fun & Games|DOLLHOUSE FURNITURE
Phrase|THE FUTURE LOOKS BRIGHT
Place|BACK OFFICE
Food & Drink|PEACHES AND CREAM
Character|THE LONE RANGER
Person|FASHION TRENDSETTER
Phrase|HANDED DOWN FROM GENERATION TO GENERATION
Living Things|MANY SPECIES OF EXOTIC BIRDS
Occupation|RIVERBOAT CAPTAIN
Landmark|EVERGLADES NATIONAL PARK
Thing|WOODEN GAVEL
Landmark|WALDEN POND
Living Thing|RED-TAILED HAWK
Song Lyrics|I FEEL GOOD I KNEW THAT I WOULD
Before & After|HOT DOG TRAINER
Same Letter|MAJESTIC MAGNIFICENT MAUI
Place|OBSERVATION DECK
Quotation|KNOWLEDGE IS POWER
Phrase|THINGS ARE LOOKING UP
Show Biz|BROADWAY
On the Map|KNOXVILLE TENNESSEE
Occupation|ADVERTISING EXECUTIVE
Phrase|FIFTEEN MINUTES OF FAME
Before & After|NEW KID ON THE BLOCK OF ICE
Phrase|EAT AND RUN
What Are You Doing?|TAKING THE GARDEN PATH TO THE BEACH
Food & Drink|SWEET POTATO FRIES
Fun & Games|BOUNCING ON A TRAMPOLINE
Things|FADED BLUE JEANS
Phrase|EASY AS ONE TWO THREE
Character|FATHER TIME
Food & Drink|SWEET GOLDEN CORN BREAD
Before & After|HOT DOG STAND BY YOUR MAN
Things|SUMMER BREEZES AND LOVELY SHORES
On the Map|TRENTON NEW JERSEY
What Are You Doing?|COUNTING DOWN THE SECONDS
Thing|BUZZWORD
Character|BABY NEW YEAR
On the Map|TAMPA BAY FLORIDA
Things|PROSPERITY AND GOOD HEALTH
Food & Drink|SOUTHERN-STYLE COLLARD GREENS
Place|THE RICH BLUE CARIBBEAN SEA
Rhyme Time|SAVOR THE FLAVOR
Around the House|ILLUSTRATED WALL CALENDAR
Thing|ROUSING APPLAUSE
On the Map|OLYMPIA WASHINGTON
Fun & Games|BLOWING BUBBLES
Phrase|HONESTY IS THE BEST POLICY
Before & After|BREAKFAST NOOK AND CRANNY
